Sensitivities for each species and rate constant versus time

A

Time 	k1	k2	k3	
3.8	-0.20178	0.0220924	-2.8013	
3.9	-0.220652	0.0786618	-3.05485	
4	-0.199751	0.0867921	-2.72752	
4.1	-0.109617	0.0790705	-2.22056	
4.2	0.0293166	0.0675875	-2.43104	
4.3	0.0345935	0.0423214	-2.33556	
4.4	-0.186314	0.0766762	-1.98912	
4.5	-0.152044	0.0427223	-2.19941	
4.6	-0.0179208	0.0507698	-1.60355	
4.7	-0.157777	0.0532147	-1.73247	
4.8	-0.127286	0.043579	-1.56394	
4.9	-0.0706389	0.0870429	-1.74599	
5	-0.124791	0.0163565	-1.55858	
5.1	-0.198901	0.0342331	-1.44118	
5.2	-0.0653298	0.0246875	-1.30159	
5.3	-0.139863	-0.012992	-1.30358	
5.4	-0.0120405	0.0232611	-1.25116	
5.5	-0.0614199	0.0110109	-1.27461	
5.6	-0.0399053	0.0242859	-1.05234	
5.7	-0.0685063	0.00867085	-0.997085	
5.8	-0.0446229	0.0376216	-0.939018	
5.9	-0.0796039	0.0213836	-1.07709	
6	-0.0538278	0.0319603	-1.0428	
6.1	0.00382633	0.0425609	-0.792997	
6.2	-0.00525006	0.0407168	-0.694663	
6.3	-0.0148552	0.0526433	-0.804422	
6.4	-0.0120549	0.0426371	-0.895686	
6.5	-0.0470551	0.0392343	-0.711259	
6.6	-0.0102839	0.0355383	-0.69291	
6.7	-0.0436503	0.0451127	-0.714297	
6.8	-0.0427962	0.025647	-0.667195	
6.9	-0.0453985	0.0304874	-0.677863	
7	-0.0334229	0.0143231	-0.475412	
7.1	-0.0155665	0.0420812	-0.651413	
7.2	-0.0445793	0.0207847	-0.552225	
7.3	-0.00941608	0.0314413	-0.450247	
7.4	-0.0354434	0.0175941	-0.473822	
7.5	-0.02217	-0.00716161	-0.442234	
7.6	-0.0282303	0.030421	-0.428628	
7.7	-0.0232257	0.000525217	-0.397725	
7.8	0.000225324	0.00924617	-0.275821	
7.9	0.00633451	0.00899116	-0.384437	
8	-0.00159389	0.0172217	-0.311179	
8.1	-0.0131023	0.0101102	-0.358561	
8.2	0.00299284	0.00744037	-0.336367	
8.3	0.0145577	0.00912634	-0.296802	
8.4	-0.0230383	0.0107013	-0.264981	
8.5	-0.00799626	0.016987	-0.235193	
8.6	-0.0179849	0.014507	-0.264445	
8.7	-0.0261617	-0.000708424	-0.226177	
8.8	-0.00264899	0.00765786	-0.220012	
8.9	-0.0107499	0.00229523	-0.247671	
9	-0.00576083	8.69465e-05	-0.167161	
9.1	-0.00346821	0.0111794	-0.150585	
9.2	-0.0179175	0.0172238	-0.12781	
9.3	-0.011067	0.00808702	-0.136028	
9.4	-0.020533	0.010602	-0.118843	
9.5	-0.0174357	0.0102309	-0.163187	
9.6	-0.00840907	0.00595678	-0.0815717	
9.7	-0.0172635	0.00325556	-0.140231	
9.8	-0.0182258	0.0053986	-0.125098	
9.9	-0.0219205	0.0140627	-0.121429	
10	-0.0138553	0.0046791	-0.0983796	

=======================================

C

Time 	k1	k2	k3	
0	0	0	0	
0.1	0.219261	-0.0849885	2.72043	
0.2	0.41972	-0.282924	5.92176	
0.3	0.662725	-0.349821	8.45704	
0.4	0.778686	-0.413645	11.2514	
0.5	0.793002	-0.425445	12.5647	
0.6	0.926852	-0.498935	14.0591	
0.7	0.965987	-0.464814	15.2528	
0.8	1.04127	-0.499747	15.7048	
0.9	1.13063	-0.638111	16.9917	
1	1.28164	-0.667519	17.5246	
1.1	1.26025	-0.677337	17.741	
1.2	1.33483	-0.610909	18.596	
1.3	1.28471	-0.699654	17.8596	
1.4	1.16261	-0.702626	18.007	
1.5	1.01261	-0.785275	17.792	
1.6	0.876068	-0.870048	17.5627	
1.7	0.770264	-0.900811	17.0151	
1.8	0.723431	-0.88517	17.1806	
1.9	0.667122	-0.950833	16.8494	
2	0.589016	-0.91877	16.5364	
2.1	0.663001	-0.887221	15.7998	
2.2	0.704747	-0.831235	15.1587	
2.3	0.691598	-0.715354	14.5312	
2.4	0.688313	-0.681213	13.8959	
2.5	0.678559	-0.700322	13.4558	
2.6	0.62132	-0.669926	12.8528	
2.7	0.581208	-0.662402	12.6603	
2.8	0.549536	-0.642625	12.0135	
2.9	0.488483	-0.62333	11.6923	
3	0.489225	-0.576183	11.3846	
3.1	0.416606	-0.490864	10.9221	
3.2	0.445741	-0.491308	10.4082	
3.3	0.519607	-0.463137	9.97394	
3.4	0.503968	-0.451667	9.63765	
3.5	0.507851	-0.442997	9.09819	
3.6	0.513768	-0.455013	8.63591	
3.7	0.416666	-0.399903	8.24722	
3.8	0.413955	-0.341163	7.73316	
3.9	0.455788	-0.317076	7.29385	
4	0.460771	-0.326099	7.07627	
4.1	0.435359	-0.306826	6.71359	
4.2	0.354132	-0.255488	6.22429	
4.3	0.327764	-0.271848	5.92816	
4.4	0.327567	-0.222106	5.70957	
4.5	0.336482	-0.209948	5.37405	
4.6	0.319321	-0.211501	5.01711	
4.7	0.30362	-0.18383	4.7727	
4.8	0.296443	-0.16135	4.48525	
4.9	0.309075	-0.161833	4.15672	
5	0.292621	-0.112572	3.94694	
5.1	0.298545	-0.100475	3.73522	
5.2	0.236718	-0.072077	3.41055	
5.3	0.208362	-0.0529276	3.27038	
5.4	0.155076	-0.055148	3.08586	
5.5	0.155276	-0.0454291	2.86683	
5.6	0.132413	-0.0630183	2.69071	
5.7	0.12102	-0.0718262	2.50647	
5.8	0.109532	-0.0476873	2.35701	
5.9	0.105498	-0.0577625	2.26335	
6	0.0804727	-0.0453583	2.08557	
6.1	0.0494034	-0.0552012	1.94918	
6.2	0.0803784	-0.0623815	1.81239	
6.3	0.0762065	-0.0568638	1.67324	
